date,year,name,isholiday,holidaycategory,description
20201010,2020,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於十月九日補假一日。
20201011,2020,,是,星期六、星期日,
20201017,2020,,是,星期六、星期日,
20201018,2020,,是,星期六、星期日,
20201024,2020,,是,星期六、星期日,
20201025,2020,,是,星期六、星期日,
20201031,2020,,是,星期六、星期日,
20201101,2020,,是,星期六、星期日,
20201107,2020,,是,星期六、星期日,
20201108,2020,,是,星期六、星期日,
20201114,2020,,是,星期六、星期日,
20201115,2020,,是,星期六、星期日,
20201121,2020,,是,星期六、星期日,
20201122,2020,,是,星期六、星期日,
20201128,2020,,是,星期六、星期日,
20201129,2020,,是,星期六、星期日,
20201205,2020,,是,星期六、星期日,
20201206,2020,,是,星期六、星期日,
20201212,2020,,是,星期六、星期日,
20201213,2020,,是,星期六、星期日,
20201219,2020,,是,星期六、星期日,
20201220,2020,,是,星期六、星期日,
20201226,2020,,是,星期六、星期日,
20201227,2020,,是,星期六、星期日,
20210101,2021,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日
20210102,2021,,是,星期六、星期日,
20210103,2021,,是,星期六、星期日,
20210109,2021,,是,星期六、星期日,
20210110,2021,,是,星期六、星期日,
20210116,2021,,是,星期六、星期日,
20210117,2021,,是,星期六、星期日,
20210123,2021,,是,星期六、星期日,
20210124,2021,,是,星期六、星期日,
20210130,2021,,是,星期六、星期日,
20210131,2021,,是,星期六、星期日,
20210206,2021,,是,星期六、星期日,
20210207,2021,,是,星期六、星期日,
20210210,2021,,是,調整放假日,
20210211,2021,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日，前一日(二月十日)功能性調整放假，並於二月二十日補行上班一日。
20210212,2021,春節,是,放假之紀念日及節日,全國各機關學校於二月十二日至二月十四日放假三日，其中春節初二、初三適逢星期六、星期日，分別於二月十五日及二月十六日各補假一日。
20210213,2021,春節,是,放假之紀念日及節日,
20210214,2021,春節,是,放假之紀念日及節日,
20210215,2021,,是,補假,
20210216,2021,,是,補假,
20210220,2021,,否,補行上班日,
20210221,2021,,是,星期六、星期日,
20210227,2021,,是,星期六、星期日,
20210228,2021,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於三月一日補假一日。
20210301,2021,,是,補假,
20210306,2021,,是,星期六、星期日,
20210307,2021,,是,星期六、星期日,
20210313,2021,,是,星期六、星期日,
20210314,2021,,是,星期六、星期日,
20210320,2021,,是,星期六、星期日,
20210321,2021,,是,星期六、星期日,
20210327,2021,,是,星期六、星期日,
20210328,2021,,是,星期六、星期日,
20210402,2021,,是,補假,
20210403,2021,,是,放假之紀念日及節日,
20210404,2021,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日，兒童節與民族掃墓節同一日且逢星期日，分別於四月二日及四月五日各補假一日。
20210405,2021,,是,補假,
20210410,2021,,是,星期六、星期日,
20210411,2021,,是,星期六、星期日,
20210417,2021,,是,星期六、星期日,
20210418,2021,,是,星期六、星期日,
20210424,2021,,是,星期六、星期日,
20210425,2021,,是,星期六、星期日,
20210501,2021,勞動節,是,特定節日,勞工放假一日。
20210502,2021,,是,星期六、星期日,
20210508,2021,,是,星期六、星期日,
20210509,2021,,是,星期六、星期日,
20210515,2021,,是,星期六、星期日,
20210516,2021,,是,星期六、星期日,
20210522,2021,,是,星期六、星期日,
20210523,2021,,是,星期六、星期日,
20210529,2021,,是,星期六、星期日,
20210530,2021,,是,星期六、星期日,
20210605,2021,,是,星期六、星期日,
20210606,2021,,是,星期六、星期日,
20210612,2021,,是,星期六、星期日,
20210613,2021,,是,星期六、星期日,
20210614,2021,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20210619,2021,,是,星期六、星期日,
20210620,2021,,是,星期六、星期日,
20210626,2021,,是,星期六、星期日,
20210627,2021,,是,星期六、星期日,
20210703,2021,,是,星期六、星期日,
20210704,2021,,是,星期六、星期日,
20210710,2021,,是,星期六、星期日,
20210711,2021,,是,星期六、星期日,
20210717,2021,,是,星期六、星期日,
20210718,2021,,是,星期六、星期日,
20210724,2021,,是,星期六、星期日,
20210725,2021,,是,星期六、星期日,
20210731,2021,,是,星期六、星期日,
20210801,2021,,是,星期六、星期日,
20210807,2021,,是,星期六、星期日,
20210808,2021,,是,星期六、星期日,
20210814,2021,,是,星期六、星期日,
20210815,2021,,是,星期六、星期日,
20210821,2021,,是,星期六、星期日,
20210822,2021,,是,星期六、星期日,
20210828,2021,,是,星期六、星期日,
20210829,2021,,是,星期六、星期日,
20210903,2021,軍人節,是,特定節日,軍人依國防部規定辦理。
20210904,2021,,是,星期六、星期日,
20210905,2021,,是,星期六、星期日,
20210911,2021,,否,補行上班日,
20210912,2021,,是,星期六、星期日,
20210918,2021,,是,星期六、星期日,
20210919,2021,,是,星期六、星期日,
20210920,2021,,是,調整放假日,
20210921,2021,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期二，調整九月二十日為放假日，並於九月十一日補行上班一日。
20210925,2021,,是,星期六、星期日,
20210926,2021,,是,星期六、星期日,
20211002,2021,,是,星期六、星期日,
20211003,2021,,是,星期六、星期日,
20211009,2021,,是,星期六、星期日,
20211010,2021,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於十月十一日補假一日。
20211011,2021,,是,補假,
20211016,2021,,是,星期六、星期日,
20211017,2021,,是,星期六、星期日,
20211023,2021,,是,星期六、星期日,
20211024,2021,,是,星期六、星期日,
20211030,2021,,是,星期六、星期日,
20211031,2021,,是,星期六、星期日,
20211106,2021,,是,星期六、星期日,
20211107,2021,,是,星期六、星期日,
20211113,2021,,是,星期六、星期日,
20211114,2021,,是,星期六、星期日,
20211120,2021,,是,星期六、星期日,
20211121,2021,,是,星期六、星期日,
20211127,2021,,是,星期六、星期日,
20211128,2021,,是,星期六、星期日,
20211204,2021,,是,星期六、星期日,
20211205,2021,,是,星期六、星期日,
20211211,2021,,是,星期六、星期日,
20211212,2021,,是,星期六、星期日,
20211218,2021,,是,星期六、星期日,
20211219,2021,,是,星期六、星期日,
20211225,2021,,是,星期六、星期日,
20211226,2021,,是,星期六、星期日,
20211231,2021,,是,補假,
20220101,2022,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期六，於一一○年十二月三十一日補假一日。
20220102,2022,,是,星期六、星期日,
20220108,2022,,是,星期六、星期日,
20220109,2022,,是,星期六、星期日,
20220115,2022,,是,星期六、星期日,
20220116,2022,,是,星期六、星期日,
20220122,2022,,否,補行上班日,
20220123,2022,,是,星期六、星期日,
20220129,2022,,是,星期六、星期日,
20220130,2022,,是,星期六、星期日,
20220131,2022,農曆除夕,是,放假之紀念日及節日,全國各機關學校放假一日。
20220201,2022,春節,是,放假之紀念日及節日,全國各機關學校於二月一日至二月三日放假三日，其中春節初三(二月三日)適逢星期四，調整二月四日為放假日，並於一月二十二日補行上班一日。
20220202,2022,春節,是,放假之紀念日及節日,
20220203,2022,春節,是,放假之紀念日及節日,
20220204,2022,,是,調整放假日,
20220205,2022,,是,星期六、星期日,
